time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-12T04:22:39.870Z,14.7484,52.0471,10,4.8,mb,,135,9.514,0.96,us,us1000envg,2018-06-12T04:39:32.040Z,"84km SSE of Qishn, Yemen",earthquake,10.2,1.9,0.068,66,reviewed,us,us
2018-06-11T20:52:28.390Z,23.9241,121.8002,10,4.7,mb,,85,0.311,0.82,us,us1000enp2,2018-06-11T22:07:56.534Z,"20km ESE of Hualian, Taiwan",earthquake,3.2,1.9,0.069,64,reviewed,us,us
2018-06-11T20:38:12.510Z,-10.3315,161.4957,54.91,5,mb,,66,1.764,1.09,us,us1000ennu,2018-06-11T20:58:38.040Z,"48km WNW of Kirakira, Solomon Islands",earthquake,9.6,6.8,0.044,161,reviewed,us,us
2018-06-11T20:09:05.260Z,35.0861,140.5933,35,4.9,mww,,116,2.023,0.97,us,us1000enn2,2018-06-12T08:27:30.771Z,"26km SE of Ohara, Japan",earthquake,6.4,2,0.073,18,reviewed,us,us
2018-06-11T19:54:21.300Z,31.2958,131.3701,30.34,5.4,mww,,38,1.871,0.88,us,us1000enmb,2018-06-13T22:17:51.203Z,"22km SE of Kushima, Japan",earthquake,6.6,4.5,0.073,18,reviewed,us,us
2018-06-11T18:22:43.540Z,-5.332,145.7962,77.19,4.9,mb,,56,3.623,1.33,us,us1000enk3,2018-06-11T21:51:27.211Z,"11km S of Madang, Papua New Guinea",earthquake,9.7,7.2,0.079,50,reviewed,us,us
2018-06-11T15:42:05.190Z,23.957,121.7769,4.9,4.5,mb,,82,0.272,0.52,us,us1000enhk,2018-06-11T22:08:22.348Z,"17km E of Hualian, Taiwan",earthquake,1.2,5.2,0.097,31,reviewed,us,us
2018-06-11T14:43:54.410Z,19.4123333,-155.2816667,0.51,5.3,mw,23,67,0.005776,0.07,hv,hv70262272,2018-06-12T08:20:48.540Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.19,0.16,,13,reviewed,hv,hv
2018-06-11T14:24:46.270Z,-0.0974,129.9371,37.92,4.7,mb,,111,2.711,0.61,us,us1000eng4,2018-06-11T15:46:37.040Z,"170km WNW of Sorong, Indonesia",earthquake,7.4,6.3,0.094,34,reviewed,us,us
2018-06-11T12:34:51.470Z,-20.7577,169.5987,97.18,5.3,mb,,90,2.207,1.48,us,us1000ends,2018-06-11T19:44:46.040Z,"138km SSE of Isangel, Vanuatu",earthquake,8,5.8,0.095,37,reviewed,us,us
2018-06-11T05:04:33.760Z,-15.9939,-73.3645,63.88,4.6,mb,,139,3.732,0.74,us,us1000en4f,2018-06-11T07:54:14.040Z,"98km NW of Camana, Peru",earthquake,8,5.3,0.068,64,reviewed,us,us
2018-06-11T04:53:45.610Z,26.3822,92.6689,10,4.9,mb,,54,1.093,1.01,us,us1000en44,2018-06-11T16:42:04.449Z,"22km ESE of Dhing, India",earthquake,5.3,1.8,0.051,122,reviewed,us,us
2018-06-11T01:18:46.470Z,-30.2063,-176.9407,10,5,mb,,84,1.287,0.99,us,us1000emzp,2018-06-11T01:37:22.040Z,"139km SE of Raoul Island, New Zealand",earthquake,9.4,1.9,0.074,59,reviewed,us,us
2018-06-10T23:19:28.690Z,5.043,-82.5211,10,4.7,mb,,80,3.438,0.8,us,us1000emxr,2018-06-10T23:35:53.040Z,"South of Panama",earthquake,7.4,1.9,0.039,200,reviewed,us,us
